isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE
ED0-2,M,Y16-24,CY,2018,7.3
ED0-2,M,Y16-24,CZ,2013,7.4
ED0-2,M,Y16-24,CZ,2018,8.1
ED0-2,M,Y16-24,DE,2013,7.6
ED0-2,M,Y16-24,DE,2018,7.4
ED0-2,M,Y16-24,DK,2013,8.1
ED0-2,M,Y16-24,DK,2018,7.5
ED0-2,M,Y16-24,EE,2013,7.2
ED0-2,M,Y16-24,EE,2018,7.8
ED0-2,M,Y16-24,EL,2013,6.9
ED0-2,M,Y16-24,EL,2018,7.3
ED0-2,M,Y16-24,ES,2013,7.1
ED0-2,M,Y16-24,ES,2018,7.6
ED0-2,M,Y16-24,FI,2013,8.3
ED0-2,M,Y16-24,FI,2018,8.4
ED0-2,M,Y16-24,FR,2013,8.1
ED0-2,M,Y16-24,FR,2018,8.2
ED0-2,M,Y16-24,HR,2013,7.3
ED0-2,M,Y16-24,HR,2018,7.6
ED0-2,M,Y16-24,HU,2013,6.8
ED0-2,M,Y16-24,HU,2018,7.2
ED0-2,M,Y16-24,IE,2013,7.9
ED0-2,M,Y16-24,IE,2018,8.9
ED0-2,M,Y16-24,IS,2013,8.2
ED0-2,M,Y16-24,IS,2018,8.2
ED0-2,M,Y16-24,IT,2013,7
ED0-2,M,Y16-24,IT,2018,7.4
ED0-2,M,Y16-24,LT,2013,7.9
ED0-2,M,Y16-24,LT,2018,7.4
ED0-2,M,Y16-24,LU,2013,7.8
ED0-2,M,Y16-24,LU,2018,7.5
ED0-2,M,Y16-24,LV,2013,7.2
ED0-2,M,Y16-24,LV,2018,7.5
ED0-2,M,Y16-24,MT,2013,7.1
ED0-2,M,Y16-24,MT,2018,7
ED0-2,M,Y16-24,NL,2013,7.4
ED0-2,M,Y16-24,NL,2018,7.8
ED0-2,M,Y16-24,NO,2013,8.1
ED0-2,M,Y16-24,NO,2018,8.3
ED0-2,M,Y16-24,PL,2013,8.1
